Order_Date,Revenue,Profit,Quantity,Orders,Customers,Average_Order_Value,Average_Rating,Average_Delivery_Days,Anomaly,Anomaly_Score,Status
2024-01-01,127772447.35,38279576.45,4833,2898,2393,44089.87141131815,4.116632160110421,5.500345065562457,1,0.012945197615846338,Normal
2024-02-01,113962629.4,34354345.95,4447,2675,2269,42602.852112149536,4.113271028037383,5.494579439252337,1,0.09894001952246473,Normal
2024-03-01,117143041.55,35435110.81,4613,2840,2382,41247.54984154929,4.101408450704225,5.560915492957746,1,0.07225198554772289,Normal
2024-04-01,120194047.45,36246483.21,4689,2821,2328,42606.89381425027,4.123360510457284,5.4774902516838,1,0.09707774168498362,Normal
2024-05-01,122675072.5,36554032.42,4798,2901,2416,42287.16735608411,4.1292657704239915,5.563254050327473,1,0.10631654760181669,Normal
2024-06-01,119435892.0,35925233.37,4641,2808,2359,42534.14957264957,4.120726495726496,5.465099715099715,1,0.09472658857837901,Normal
2024-07-01,125339757.1,37778771.14,4898,2965,2463,42273.1052613828,4.130185497470489,5.507588532883642,1,0.04329061737773965,Normal
2024-08-01,122923290.65,36593467.55,4798,2888,2381,42563.466291551245,4.098684210526316,5.458448753462604,1,0.05727083564746832,Normal
2024-09-01,116488939.05,34756772.66,4475,2752,2321,42328.82959665698,4.1239098837209305,5.551962209302325,1,0.11392493726968472,Normal
2024-10-01,120267621.35,35973275.48,4686,2867,2388,41948.94361702127,4.126264387861877,5.534007673526334,1,0.12096190329991496,Normal
2024-11-01,115749715.65,34488198.08,4431,2738,2294,42275.27963842221,4.116508400292184,5.494886778670563,1,0.10905997409977647,Normal
2024-12-01,127133229.7,37975498.47,4883,2983,2446,42619.25232986926,4.125041904123366,5.493127723768019,1,0.03652869352548599,Normal
2025-01-01,125411034.0,38281381.73,4834,2956,2463,42425.924898511505,4.121109607577808,5.402909336941813,-1,-0.0030912052324043593,Anomaly
2025-02-01,109440186.85,32903716.0,4127,2541,2178,43069.73114915387,4.119244391971665,5.532073986619441,-1,-0.03085181832732775,Anomaly
2025-03-01,119056870.65,35633658.55,4739,2896,2439,41110.79787638122,4.12292817679558,5.548342541436464,1,0.08468778277100514,Normal
2025-04-01,119817022.85,36062283.63,4662,2875,2383,41675.48620869565,4.111304347826087,5.514086956521739,1,0.11169136485434783,Normal
2025-05-01,116987167.7,34738143.98,4742,2908,2428,40229.42493122421,4.100412654745529,5.485557083906465,1,0.0057408097173223815,Normal
2025-06-01,114824259.45,34330980.02,4462,2709,2264,42386.21611295681,4.1140642303433,5.5027685492801774,1,0.11033136274440941,Normal
2025-07-01,122016928.55,37079928.48,4712,2919,2419,41800.9347550531,4.1281260705721134,5.57930798218568,1,0.0852030702327436,Normal
2025-08-01,121741488.25,36323036.45,4888,2935,2425,41479.21235093697,4.112095400340715,5.5809199318569,1,0.050341198482165284,Normal
2025-09-01,116729433.0,35011407.73,4519,2748,2312,42477.9596069869,4.14410480349345,5.5658660844250365,1,0.10262213783286905,Normal
2025-10-01,112951010.15,33996099.8,4474,2729,2264,41389.15725540491,4.178087211432759,5.5111762550384755,1,0.06520698035074474,Normal
2025-11-01,116540145.55,34862729.21,4417,2709,2233,43019.61814322628,4.158730158730159,5.548911037283131,1,0.0943291708288509,Normal
2025-12-01,116617716.05,34988583.26,4574,2804,2346,41589.770345934376,4.168330955777461,5.56169757489301,1,0.07900488458118432,Normal
2026-01-01,115252494.45,34560459.9,4290,2658,2225,43360.607392776525,4.208051166290444,5.510910458991723,1,0.04250976959410213,Normal
2026-02-01,103057528.75,30225899.9,3910,2396,1969,43012.324186143574,4.16652754590985,5.490818030050083,-1,-0.16262671980866228,Anomaly
2026-03-01,117865524.05,35146950.76,4456,2721,2248,43316.98789048144,4.18228592429254,5.503123851525174,1,0.08822879061384103,Normal
2026-04-01,113282363.55,33981946.53,4407,2660,2226,42587.35471804511,4.190977443609023,5.521428571428571,1,0.06403594419025915,Normal
2026-05-01,121995587.85,36786472.98,4497,2738,2214,44556.46013513513,4.205624543462381,5.570124178232287,-1,-0.04066908297206162,Anomaly
2026-06-01,110877909.6,33152448.56,4166,2535,2120,43738.82035502958,4.207100591715976,5.470216962524654,-1,-0.0682186153785116,Anomaly
